major,major_long
AMST,American Studies
ANSO,Anthropology & Sociology
ANTH,Anthropology
ARAH,Art and the History of Art
ARCH,Architectural Studies
ARHA,Art and the History of Art
ASLC,Asian Languages and Civilizations
ASTR,Astronomy
BCBP,Biochemistry & Biophysics
BIOL,Biology
BLST,Black Studies
CHEM,Chemistry
CLAS,Classics
COSC,Computer Science
ECON,Economics
ENGL,English
ENST,Enviromental Studies
EUST,European Studies
FAMS,Film and Media Studies
FIAR,Fine Arts
FREN,French
GEOL,Geology
GERM,German
GREE,Greek
HIST,History
INSC,Independent Scholar
INTE,Interdisciplinary
LATI,Latin
LJST,"Law, Jurisprudence, and Social Thought "
LLAS,Latinx & Latin American Studies
MATH,Mathematics
MUSI,Music
NEUR,Neuroscience
PHIL,Philosophy
PHYS,Physics
POSC,Poltical Science
PSYC,Psychology
RELI,Religion
RUSS,Russian
SOCI,Sociology
SPAN,Spanish
STAT,Statistics
SWAG,"Sexuality, Women's & Gender Studies"
THDA,Theater & Dance
WAGS,Women's and Gender Studies
